acceptedTaxonID,scientificName,taxonRank
AMBAME,Amblyomma americanum,species
IXOSCA,Ixodes scapularis,species
IXOSP,Ixodidae sp.,family
HAELON,Haemaphysalis longicornis,species
DERVAR,Dermacentor variabilis,species
IXOMAR1,Ixodes marxi,species
IXODEN,Ixodes dentatus,species
AMBMAC,Amblyomma maculatum,species
DERAND,Dermacentor andersoni,species
HAELEP,Haemaphysalis leporispalustris,species
IXOAFF,Ixodes affinis,species
DERPAR,Dermacentor parumapertus,species
IXOMUR,Ixodes muris,species
IXOANG,Ixodes angustus,species
IXOPAC,Ixodes pacificus,species
AMBSP,Amblyomma sp.,genus
IXOSPP,Ixodidae spp.,family
IXOKIN,Ixodes kingi,species
AMBSPP,Amblyomma spp.,genus
IXOBRU,Ixodes brunneus,species
DEROCC,Dermacentor occidentalis,species
