"siteID","plotID","latitude_top_left","longitude_top_left","latitude_bottom_right","longitude_bottom_right"
"GREN","GREN_001",41.7945388791022,-73.7692399928009,41.7939361196715,-73.7684315090452
"GREN","GREN_002",41.7931913791023,-73.7641767428876,41.7925886069996,-73.7633682591319
"HNRY","HNRY_001",41.8042508309869,-73.7213952430272,41.8036481628983,-73.7205867592715
"HNRY","HNRY_002",41.8033605840666,-73.7252992428555,41.8027579076044,-73.7244907590999
"TEA","TEA_001",41.7941576290041,-73.7315504928495,41.7935548659881,-73.7307420090938
"TEA","TEA_002",41.7959113670684,-73.7285842426917,41.7953086205451,-73.727775758936
"OSBS","OSBS_077",29.6786632124093,-82.0160782418778,29.6779607863638,-82.0152697581221
"OSBS","OSBS_001",29.7044141224171,-82.0084652418779,29.7037118763553,-82.0076567581222
"OSBS","OSBS_048",29.6791692106416,-81.9481962418779,29.6784667881314,-81.9473877581222
"UNDE","UNDE_017",46.2370156054168,-89.4974582418779,46.2364563931585,-89.4966497581221
"UNDE","UNDE_022",46.2318646316621,-89.5684432418778,46.2313053669132,-89.5676347581221
"BLAN","BLAN_008",39.084188781497,-77.9667252418779,39.0835612171072,-77.9659167581221
"BLAN","BLAN_069",39.0980427198638,-77.9812682418778,39.0974152787403,-77.9804597581221
"BLAN","BLAN_020",39.1019647024124,-77.9822592418778,39.1013372961916,-77.9814507581222
"BLAN","BLAN_015",39.0890427599048,-77.9558962418779,39.0884152386994,-77.9550877581221
"BLAN","BLAN_012",39.083032786639,-77.9599942418779,39.0824052119653,-77.9591857581221
"BLAN","BLAN_005",39.0865377710482,-77.9731402418778,39.0859102275561,-77.9723317581221
"SCBI","SCBI_014",38.8660547495077,-78.1635242418779,38.8654252490988,-78.1627157581221
"SCBI","SCBI_013",38.873355717182,-78.1637172418778,38.8727262814244,-78.1629087581221
"SCBI","SCBI_008",38.8881116518332,-78.1493092418778,38.8874823467731,-78.1485007581221
"SCBI","SCBI_007",38.8863366596951,-78.1297722418779,38.8857073389112,-78.1289637581221
"SCBI","SCBI_006",38.897393610716,-78.1506812418778,38.8967643878902,-78.1498727581221
"SCBI","SCBI_002",38.8941776249631,-78.1431042418779,38.8935483736432,-78.1422957581221
"SERC","SERC_002",38.8965716143576,-76.5585842418778,38.8959423842486,-76.5577757581221
"SERC","SERC_001",38.8684987386873,-76.5357052418778,38.8678692599192,-76.5348967581221
"SERC","SERC_006",38.8803396862551,-76.5487872418778,38.8797103123513,-76.5479787581221
"SERC","SERC_012",38.8803306862949,-76.5620452418778,38.8797013123114,-76.5612367581221
"SERC","SERC_005",38.8943726240992,-76.5467012418778,38.893743374507,-76.5458927581221
"SERC","SERC_023",38.874292713033,-76.5363272418778,38.8736632855734,-76.5355187581221
"ORNL","ORNL_008",35.9338583133003,-84.3344302418779,35.9332036853445,-84.3336217581221
"ORNL","ORNL_002",35.9834081080204,-84.2120592418779,35.9827538906236,-84.2112507581221
"ORNL","ORNL_040",35.9758491393523,-84.3055072418778,35.9751948592918,-84.3046987581221
"ORNL","ORNL_009",35.9752311419136,-84.2270302418778,35.9745768567305,-84.2262217581221
"ORNL","ORNL_007",35.926169345133,-84.3288192418779,35.9255146535119,-84.3280107581221
"ORNL","ORNL_003",35.9673431746026,-84.2302582418778,35.9666888240416,-84.2294497581222
"MLBS","MLBS_009",37.3746492449488,-80.5169662418778,37.3740067536754,-80.5161577581221
"MLBS","MLBS_005",37.3633842931877,-80.5201852418778,37.3627417054366,-80.5193767581221
"MLBS","MLBS_003",37.3675462753667,-80.5273012418779,37.3669037232576,-80.5264927581222
"MLBS","MLBS_006",37.4275600182075,-80.5630222418779,37.426917980416,-80.5622137581221
"KONZ","KONZ_025",39.1040276932323,-96.5982392418779,39.1034003053718,-96.5974307581222
"KONZ","KONZ_002",39.1192906253008,-96.5475492418778,39.1186633733031,-96.5467407581222
"DELA","DELA_001",32.53361780729,-87.8057182418778,32.5329361914168,-87.8049097581221
"DELA","DELA_004",32.5314048156866,-87.8135252418779,32.5307231830203,-87.8127167581221
"DELA","DELA_008",32.5392227860213,-87.8145482418778,32.5385412126854,-87.8137397581221
"UKFS","UKFS_001",39.0375519888393,-95.1990342418778,39.0369240097655,-95.1982257581221
"UKFS","UKFS_030",39.0454299538293,-95.2138372418779,39.0448020447754,-95.2130287581221
"UKFS","UKFS_002",39.0462069503759,-95.2074302418778,39.0455790482287,-95.2066217581221
"UKFS","UKFS_003",39.0540829153683,-95.1874882418778,39.0534550832362,-95.1866797581221
"UKFS","UKFS_004",39.0435019623979,-95.2014042418779,39.0428740362068,-95.2005957581221
"UKFS","UKFS_018",39.0535189178754,-95.1950622418778,39.0528910807292,-95.1942537581221
"KONZ","KONZ_007",39.0882507634281,-96.5463222418778,39.0876232351762,-96.5455137581221
"KONZ","KONZ_001",39.0744268249149,-96.5575102418778,39.0737991736895,-96.5567017581221
"KONZ","KONZ_009",39.1082156745949,-96.5848412418778,39.1075883240092,-96.5840327581221
"TALL","TALL_001",32.9767051159018,-87.4325962418778,32.9760268827959,-87.4317877581221
"TALL","TALL_002",32.9211653290265,-87.4293642418778,32.9204866696723,-87.4285557581221
"TALL","TALL_008",32.9232123211772,-87.4345022418779,32.9225336775216,-87.4336937581221
"TALL","TALL_016",32.9718931343796,-87.4162482418779,32.9712148643182,-87.4154397581221
"OSBS","OSBS_002",29.70400712384,-81.9587762418778,29.7033048749324,-81.9579677581222
"DELA","DELA_011",32.5193928612535,-87.8179962418779,32.5187111374537,-87.8171877581221
"TALL","TALL_003",32.8947484302851,-87.4169372418778,32.8940695684143,-87.4161287581221
"OSBS","OSBS_004",29.6837541946234,-81.9608522418778,29.6830518041496,-81.9600437581222
"TREE","TREE_017",45.4936583695009,-89.5761342418779,45.4930916290732,-89.5753257581221
"TREE","TREE_005",45.4825904251861,-89.5577022418778,45.4820235733881,-89.5568937581221
"TREE","TREE_022",45.4947953637799,-89.5516432418779,45.4942286347943,-89.5508347581221
"TREE","TREE_007",45.4966833542798,-89.5596312418779,45.4961166442944,-89.5588227581221
"TREE","TREE_019",45.4950653624213,-89.5762222418778,45.4944986361529,-89.5754137581222
"TREE","TREE_015",45.4859074084987,-89.5547212418779,45.4853405900754,-89.5539127581221
"STEI","STEI_001",45.8132717569062,-90.0915312418779,45.8127082416683,-90.0907227581221
"STEI","STEI_002",45.7964478420096,-90.0918582418779,45.7958841565649,-90.0910497581222
"STEI","STEI_005",45.8253956955625,-90.0862832418779,45.824832303012,-90.0854747581221
"UNDE","UNDE_011",46.2142147215749,-89.5063542418778,46.2136552770004,-89.5055457581221
"STEI","STEI_003",45.8243637007846,-90.0714652418778,45.8238002977899,-90.0706567581221
"STEI","STEI_023",45.8242987011135,-90.0965752418778,45.823735297461,-90.0957667581222
"STEI","STEI_029",45.8331626562573,-90.0758942418778,45.8325993423173,-90.0750857581221
"KONA","KONA_021",39.1253415983633,-96.6439762418779,39.1247144002405,-96.6431677581221
"KONZ","KONZ_004",39.1099606668288,-96.5517732418779,39.1093333317752,-96.5509647581221
"OAES","OAES_008",35.3943485325603,-99.0635632418778,35.3936894660931,-99.0627547581221
"OAES","OAES_007",35.4216574209262,-99.0576142418778,35.4209985777267,-99.0568057581221
"OAES","OAES_021",35.4135404541148,-99.0747052418779,35.4128815445382,-99.0738967581221
"DELA","DELA_005",32.5247198410477,-87.8142562418779,32.5240381576594,-87.8134477581221
"DELA","DELA_014",32.530969817337,-87.8197762418779,32.5302881813699,-87.8189677581221
"HARV","HARV_002",42.4775291461704,-72.2598582418779,42.4769328524091,-72.2590497581221
"HARV","HARV_006",42.402226504691,-72.2531042418778,42.4016294938888,-72.2522957581222
"HARV","HARV_001",42.4245153986259,-72.2605002418778,42.4239185999539,-72.2596917581221
"HARV","HARV_022",42.435756345117,-72.1996912418778,42.4351596534627,-72.1988827581222
"HARV","HARV_026",42.4123554564964,-72.2469312418779,42.4117585420834,-72.2461227581221
"HARV","HARV_004",42.4271753859649,-72.2283572418778,42.4265786126148,-72.2275487581221
"CLBJ","CLBJ_032",33.4055124597123,-97.5955322418778,33.4048375389768,-97.5947237581222
"LENO","LENO_015",31.8176434972447,-88.1918942418778,31.8169565014776,-88.1910857581221
"LENO","LENO_002",31.8066255382218,-88.1956212418779,31.8059384605007,-88.1948127581221
"MLBS","MLBS_004",37.4293890103648,-80.5106912418779,37.4287469882587,-80.5098827581221
"MLBS","MLBS_002",37.3720232561949,-80.5262862418779,37.3713807424293,-80.5254777581221
"LENO","LENO_003",31.8099175259798,-88.1879642418779,31.8092304727426,-88.1871557581221
"BLAN","BLAN_004",39.0887297612972,-77.9617352418778,39.088102237307,-77.9609267581222
"OAES","OAES_004",35.4114884625039,-99.0846382418778,35.4108295361492,-99.0838297581221
"CLBJ","CLBJ_043",33.4107434393917,-97.5941172418778,33.4100685592973,-97.5933087581221
"CLBJ","CLBJ_036",33.3968314934287,-97.5813222418778,33.3961565052606,-97.5805137581221
"CLBJ","CLBJ_034",33.3204277898423,-97.5789412418778,33.3197522088485,-97.5781327581221
"LENO","LENO_004",31.8227274783325,-88.1823682418779,31.8220405203897,-88.1815597581221
"OAES","OAES_005",35.4032554961584,-99.0807502418779,35.4025965024949,-99.0799417581221
"UNDE","UNDE_013",46.2280656510172,-89.5355832418779,46.2275063475581,-89.5347747581221
"UNDE","UNDE_019",46.2577084999594,-89.5424572418779,46.2571494986159,-89.5416487581222
"TALL","TALL_006",32.8994924121063,-87.4449582418778,32.898813586593,-87.4441497581221
"UNDE","UNDE_002",46.2425645771411,-89.5436592418779,46.2420054214342,-89.5428507581221
"OSBS","OSBS_063",29.688907176618,-81.9704082418778,29.6882048221548,-81.9695997581221
"OAES","OAES_003",35.4124634585179,-99.0684312418778,35.4118045401351,-99.0676227581221
"OSBS","OSBS_005",29.6982741438811,-82.0260272418778,29.6975718548915,-82.0252187581221
"SCBI","SCBI_005",38.9021795895118,-78.1623482418779,38.9015504090943,-78.1615397581221
"SCBI","SCBI_039",38.8967476135779,-78.1669462418779,38.8961183850283,-78.1661377581222
"OSBS","OSBS_003",29.6940441586658,-81.9474142418779,29.6933418401069,-81.9466057581222
"OSBS","OSBS_022",29.6886601774811,-81.9623722418779,29.6879578212917,-81.9615637581221
"CLBJ","CLBJ_033",33.3826255485871,-97.6201872418779,33.3819504501025,-97.6193787581222
"LENO","LENO_023",31.8098035264038,-88.1818172418779,31.8091164723187,-88.1810087581221
"HARV","HARV_020",42.4384553322676,-72.2293272418778,42.4378586663121,-72.2285187581221
"UNDE","UNDE_999",46.2565205060148,-89.5346032418778,46.2559614925606,-89.5337947581221
"KONA","KONA_002",39.1145486464086,-96.6390162418778,39.1139213521954,-96.6382077581221
"KONA","KONA_003",39.2145872006566,-96.6008392418778,39.2139607979463,-96.6000307581222
"KONA","KONA_004",39.125888595928,-96.6377602418778,39.1252614026758,-96.6369517581221
"LENO","LENO_042",31.8181714952807,-88.1832892418778,31.8174845034416,-88.1824807581222
"DELA","DELA_001",32.5336088073242,-87.8058362418778,32.5329271913827,-87.8050277581221
"BLAN","BLAN_002",39.0917877476931,-77.9825532418779,39.091160250911,-77.9817447581221
"DELA","DELA_016",32.5371907937323,-87.8073992418779,32.5365092049744,-87.8065907581221
"UNDE","UNDE_003",46.2575965005303,-89.5352992418779,46.257037498045,-89.5344907581221
"CLBJ","CLBJ_040",33.3779085668975,-97.6476412418778,33.3772334317922,-97.6468327581222
"DELA","DELA_007",32.5392977857367,-87.8003262418778,32.53861621297,-87.7995177581221
"ORNL","ORNL_006",35.9385282939635,-84.3225892418778,35.9378737046812,-84.3217807581221
"KONA","KONA_019",39.2120552119504,-96.5905132418779,39.2114287866525,-96.5897047581221
"KONA","KONA_024",39.2089762256833,-96.5955422418779,39.2083497729197,-96.5947337581221
"UNDE","UNDE_062",46.2471795536227,-89.5057982418778,46.2466204449526,-89.5049897581221
